id,city,json_data,collected_at
19,"Haiphong,VN","{'dt': 1759459729, 'id': 1581298, 'cod': 200, 'sys': {'sunset': 1759487992, 'country': 'VN', 'sunrise': 1759445081}, 'base': 'stations', 'main': {'temp': 30.42, 'humidity': 68, 'pressure': 1013, 'temp_max': 30.42, 'temp_min': 30.42, 'sea_level': 1013, 'feels_like': 35.56, 'grnd_level': 1012}, 'name': 'Hải Phòng', 'wind': {'deg': 127, 'gust': 1.89, 'speed': 1.34}, 'coord': {'lat': 20.8561, 'lon': 106.6822}, 'clouds': {'all': 87}, 'weather': [{'id': 804, 'icon': '04d', 'main': 'Clouds', 'description': 'mây đen u ám'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:52:51.935783
20,"Da Nang,VN","{'dt': 1759459935, 'id': 1583992, 'cod': 200, 'sys': {'sunset': 1759487704, 'country': 'VN', 'sunrise': 1759444630}, 'base': 'stations', 'main': {'temp': 30.86, 'humidity': 75, 'pressure': 1013, 'temp_max': 30.86, 'temp_min': 30.86, 'sea_level': 1013, 'feels_like': 37.86, 'grnd_level': 1008}, 'name': 'Đà Nẵng', 'wind': {'deg': 24, 'gust': 1.59, 'speed': 1.35}, 'coord': {'lat': 16.0678, 'lon': 108.2208}, 'clouds': {'all': 17}, 'weather': [{'id': 801, 'icon': '02d', 'main': 'Clouds', 'description': 'mây thưa'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:52:52.353993
21,"Can Tho,VN","{'dt': 1759459744, 'id': 1586203, 'cod': 200, 'sys': {'sunset': 1759488389, 'country': 'VN', 'sunrise': 1759445116}, 'base': 'stations', 'main': {'temp': 30.73, 'humidity': 61, 'pressure': 1012, 'temp_max': 30.73, 'temp_min': 30.73, 'sea_level': 1012, 'feels_like': 34.52, 'grnd_level': 1012}, 'name': 'Cần Thơ', 'wind': {'deg': 169, 'gust': 1.91, 'speed': 1.94}, 'coord': {'lat': 10.0333, 'lon': 105.7833}, 'clouds': {'all': 67}, 'weather': [{'id': 803, 'icon': '04d', 'main': 'Clouds', 'description': 'mây cụm'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:52:53.010973
22,"An Giang,VN","{'dt': 1759459973, 'id': 1594446, 'cod': 200, 'sys': {'sunset': 1759488529, 'country': 'VN', 'sunrise': 1759445271}, 'base': 'stations', 'main': {'temp': 30.55, 'humidity': 62, 'pressure': 1012, 'temp_max': 30.55, 'temp_min': 30.55, 'sea_level': 1012, 'feels_like': 34.38, 'grnd_level': 1011}, 'name': 'An Giang', 'wind': {'deg': 193, 'gust': 2.43, 'speed': 2.61}, 'coord': {'lat': 10.5, 'lon': 105.1667}, 'clouds': {'all': 100}, 'weather': [{'id': 804, 'icon': '04d', 'main': 'Clouds', 'description': 'mây đen u ám'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:52:53.757638
23,"Ba Ria,VN","{'dt': 1759459699, 'id': 1562414, 'cod': 200, 'sys': {'sunset': 1759488049, 'country': 'VN', 'sunrise': 1759444791}, 'base': 'stations', 'main': {'temp': 29.53, 'humidity': 68, 'pressure': 1012, 'temp_max': 29.53, 'temp_min': 29.53, 'sea_level': 1012, 'feels_like': 33.5, 'grnd_level': 1009}, 'name': 'Ba Ria', 'wind': {'deg': 133, 'gust': 2.21, 'speed': 2.05}, 'coord': {'lat': 10.4963, 'lon': 107.1688}, 'clouds': {'all': 85}, 'weather': [{'id': 804, 'icon': '04d', 'main': 'Clouds', 'description': 'mây đen u ám'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:52:54.684595
24,"Bac Giang,VN","{'dt': 1759459968, 'id': 1591527, 'cod': 200, 'sys': {'sunset': 1759488100, 'country': 'VN', 'sunrise': 1759445204}, 'base': 'stations', 'main': {'temp': 29.75, 'humidity': 66, 'pressure': 1013, 'temp_max': 29.75, 'temp_min': 29.75, 'sea_level': 1013, 'feels_like': 33.56, 'grnd_level': 1012}, 'name': 'Bac Giang', 'wind': {'deg': 138, 'gust': 2.16, 'speed': 1.8}, 'coord': {'lat': 21.2667, 'lon': 106.2}, 'clouds': {'all': 49}, 'weather': [{'id': 802, 'icon': '03d', 'main': 'Clouds', 'description': 'mây rải rác'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:52:55.628277
25,"Bac Kan,VN","{'dt': 1759459921, 'id': 1591538, 'cod': 200, 'sys': {'sunset': 1759488173, 'country': 'VN', 'sunrise': 1759445307}, 'base': 'stations', 'main': {'temp': 29.72, 'humidity': 61, 'pressure': 1014, 'temp_max': 29.72, 'temp_min': 29.72, 'sea_level': 1014, 'feels_like': 32.49, 'grnd_level': 961}, 'name': 'Bac Kan', 'wind': {'deg': 182, 'gust': 2.19, 'speed': 1.46}, 'coord': {'lat': 22.1333, 'lon': 105.8333}, 'clouds': {'all': 48}, 'weather': [{'id': 802, 'icon': '03d', 'main': 'Clouds', 'description': 'mây rải rác'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:52:56.451386
26,"Bac Lieu,VN","{'dt': 1759459976, 'id': 1591474, 'cod': 200, 'sys': {'sunset': 1759488415, 'country': 'VN', 'sunrise': 1759445118}, 'base': 'stations', 'main': {'temp': 29.56, 'humidity': 67, 'pressure': 1012, 'temp_max': 29.56, 'temp_min': 29.56, 'sea_level': 1012, 'feels_like': 33.36, 'grnd_level': 1012}, 'name': 'Thành Phố Bạc Liêu', 'wind': {'deg': 168, 'gust': 1.55, 'speed': 2.08}, 'coord': {'lat': 9.285, 'lon': 105.7244}, 'clouds': {'all': 82}, 'weather': [{'id': 803, 'icon': '04d', 'main': 'Clouds', 'description': 'mây cụm'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:52:56.933069
27,"Bac Ninh,VN","{'dt': 1759459977, 'id': 1591449, 'cod': 200, 'sys': {'sunset': 1759488138, 'country': 'VN', 'sunrise': 1759445239}, 'base': 'stations', 'main': {'temp': 29.67, 'humidity': 66, 'pressure': 1013, 'temp_max': 29.67, 'temp_min': 29.67, 'sea_level': 1013, 'feels_like': 33.39, 'grnd_level': 1012}, 'name': 'Bắc Ninh', 'wind': {'deg': 141, 'gust': 2.22, 'speed': 1.85}, 'coord': {'lat': 21.1833, 'lon': 106.05}, 'clouds': {'all': 46}, 'weather': [{'id': 802, 'icon': '03d', 'main': 'Clouds', 'description': 'mây rải rác'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:52:57.524727
28,"Ben Tre,VN","{'dt': 1759459876, 'id': 1587976, 'cod': 200, 'sys': {'sunset': 1759488241, 'country': 'VN', 'sunrise': 1759444975}, 'base': 'stations', 'main': {'temp': 31.61, 'humidity': 61, 'pressure': 1012, 'temp_max': 31.61, 'temp_min': 31.61, 'sea_level': 1012, 'feels_like': 36.46, 'grnd_level': 1012}, 'name': 'Ben Tre', 'wind': {'deg': 156, 'gust': 1.5, 'speed': 1.18}, 'coord': {'lat': 10.2333, 'lon': 106.3833}, 'clouds': {'all': 79}, 'weather': [{'id': 803, 'icon': '04d', 'main': 'Clouds', 'description': 'mây cụm'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:52:57.821099
